Annot,1,2,3,N,geneID
Huntington's disease,14,0,0,777,
Parkinson's disease,14,0,0,777,
Oxidative phosphorylation,14,0,0,777,
Alzheimer's disease,14,0,0,777,
Metabolic pathways,14,0,0,777,
Parkinson's disease,14,0,0,777,
Huntington's disease,14,0,0,777,
Oxidative phosphorylation,14,0,0,777,
Alzheimer's disease,14,0,0,777,
Metabolic pathways,14,0,0,777,
Proximal tubule bicarbonate reclamation,12,0,0,777,
Pancreatic secretion,12,0,0,777,
Carbohydrate digestion and absorption,12,0,0,777,
Aldosterone-regulated sodium reabsorption,12,0,0,777,
Endocrine and other factor-regulated calcium reabsorption,12,0,0,777,
cGMP-PKG signaling pathway,12,0,0,777,
Oxidative phosphorylation,14,0,0,777,
Alzheimer's disease,14,0,0,777,
Huntington's disease,14,0,0,777,
cAMP signaling pathway,12,0,0,777,
Insulin secretion,12,0,0,777,
Gastric acid secretion,12,0,0,777,
Bile secretion,12,0,0,777,
Metabolic pathways,14,0,0,777,
Thyroid hormone synthesis,12,0,0,777,
Salivary secretion,12,0,0,777,
Protein digestion and absorption,12,0,0,777,
Thyroid hormone signaling pathway,12,0,0,777,
Cardiac muscle contraction,12,0,0,777,
Adrenergic signaling in cardiomyocytes,12,0,0,777,
Mineral absorption,12,0,0,777,
Parkinson's disease,14,0,0,777,
Oxidative phosphorylation,14,0,0,777,
Proximal tubule bicarbonate reclamation,12,0,0,777,
Pancreatic secretion,12,0,0,777,
Melanoma,11,0,0,777,
Aldosterone-regulated sodium reabsorption,12,0,0,777,
Acute myeloid leukemia,11,0,0,777,
Endocrine and other factor-regulated calcium reabsorption,12,0,0,777,
cGMP-PKG signaling pathway,12,0,0,777,
Long-term potentiation,11,0,0,777,
Chronic myeloid leukemia,11,0,0,777,
Carbohydrate digestion and absorption,12,0,0,777,
Alzheimer's disease,14,0,0,777,
Huntington's disease,14,0,0,777,
Colorectal cancer,11,0,0,777,
Proteoglycans in cancer,11,0,0,777,
Regulation of actin cytoskeleton,11,0,0,777,
Vascular smooth muscle contraction,11,0,0,777,
cAMP signaling pathway,12,0,0,777,
