Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000175:Sodium:neurotransmitter symporter	3	12.0	0.000223938824368	P31648, Q8BJI1, P31650	24	20	20594	128.7125	0.0153347165009	0.0153347165009	0.230834062814
GOTERM_MF_DIRECT	GO:0005328~neurotransmitter:sodium symporter activity	3	12.0	0.000284481464079	P31648, Q8BJI1, P31650	23	20	17446	113.77826087	0.0169264269331	0.0169264269331	0.28473211891
UP_KEYWORDS	Neurotransmitter transport	3	12.0	0.000698748092659	P31648, Q8BJI1, P31650	25	37	22680	73.5567567568	0.0557056699565	0.0557056699565	0.743963209583
GOTERM_BP_DIRECT	GO:0006836~neurotransmitter transport	3	12.0	0.00135533331194	P31648, Q8BJI1, P31650	23	45	18082	52.4115942029	0.153647272461	0.153647272461	1.55167931496
GOTERM_BP_DIRECT	GO:0015812~gamma-aminobutyric acid transport	2	8.0	0.00485824593124	P31648, P31650	23	4	18082	393.086956522	0.450650553356	0.258818884048	5.46075291062
GOTERM_MF_DIRECT	GO:0005332~gamma-aminobutyric acid:sodium symporter activity	2	8.0	0.00503503508088	P31648, P31650	23	4	17446	379.260869565	0.261301344695	0.140524197371	4.93286667509
UP_KEYWORDS	Symport	3	12.0	0.00610679064023	P31648, Q8BJI1, P31650	25	111	22680	24.5189189189	0.394857973895	0.222091248214	6.33445826276
GOTERM_MF_DIRECT	GO:0015293~symporter activity	3	12.0	0.00867689479777	P31648, Q8BJI1, P31650	23	112	17446	20.3175465839	0.407192464868	0.159951091693	8.36311828101
UP_KEYWORDS	Phosphoprotein	15	60.0	0.0110773940807	P31648, Q8BX94, Q922H2, P31650, Q80WQ2, Q8VDZ4, Q6PFD9, P62915, Q8BJI1, Q8CBY3, Q91VS8, P58854, Q8K1C9, Q8BHG1, Q80T14	25	7617	22680	1.78653012997	0.598847985541	0.262487035319	11.2193858679
UP_KEYWORDS	Transport	7	28.0	0.0124035864193	P31648, Q6PFD9, Q5HZI9, Q8BX94, Q3TQB2, Q8BJI1, P31650	25	1901	22680	3.34055760126	0.640648601488	0.225752458778	12.4830857413
GOTERM_CC_DIRECT	GO:0016020~membrane	14	56.0	0.0125205446018	P31648, Q3TQB2, P31650, Q80WQ2, Q8VDZ4, Q6PFD9, Q8K0E7, Q5HZI9, Q8BJI1, Q8BMN4, P58854, Q8K1C9, Q8R3S2, Q80T14	22	6998	19662	1.78796539271	0.530447527938	0.530447527938	11.8622095876
GOTERM_BP_DIRECT	GO:0006810~transport	7	28.0	0.0187891242057	P31648, Q6PFD9, Q5HZI9, Q8BX94, Q3TQB2, Q8BJI1, P31650	23	1822	18082	3.02042666921	0.90300050875	0.540530714063	19.6446503934
GOTERM_BP_DIRECT	GO:0042220~response to cocaine	2	8.0	0.0452534804154	P31648, P61922	23	38	18082	41.3775743707	0.996640811946	0.759254277591	41.3730823744
KEGG_PATHWAY	mmu04727:GABAergic synapse	2	8.0	0.055105337508	P31648, P61922	6	87	7720	29.5785440613	0.572682246652	0.572682246652	32.5703753862
GOTERM_CC_DIRECT	GO:0043005~neuron projection	3	12.0	0.0732086217204	P31648, P61922, P31650	22	420	19662	6.38376623377	0.989554743725	0.89779796345	53.3228176192
UP_SEQ_FEATURE	compositionally biased region:Poly-Glu	3	12.0	0.0905050894289	Q3TQB2, P58854, Q8BHG1	24	397	18012	5.67128463476	0.999979898376	0.999979898376	66.0022273687
UP_KEYWORDS	Mitochondrion	4	16.0	0.0990573876141	Q5HZI9, P61922, Q3TQB2, Q922H2	25	1058	22680	3.42986767486	0.99980717447	0.819268893728	67.1887820577
