A0A202FU19,Q59SL0,Q6FTZ0
A0A202FV02,P83781,Q6FNQ4
A0A202FV12,A0A1D8PTB5,Q6FTX3
A0A202FUZ4,A0A1D8PT17,Q6FPF9
A0A202FVG3,P0DJ06,Q6FVI0
A0A202FVN1,Q5AF56,Q6FV44
A0A202G6E5,Q5ANC8,Q6FV44
A0A202FVI9,Q5AF81,Q6FSS7
A0A202FW13,P83773,Q6FPF3
A0A202FW45,Q5AGX8,Q6FNP0
A0A202FWU6,A0A1D8PGT5,Q6FVP8
A0A202G4L9,A0A1D8PSW6,Q6FVP8
A0A202FWP4,A0A1D8PM94,Q6FPK0
A0A202FWH7,A0A1D8PMA1,Q6FU27
A0A202FXC1,Q5AEK8,Q6FLF4
A0A202FYG0,A0A1D8PIF4,Q6FLF4
A0A202G425,A0A1D8PQP7,Q6FLF4
A0A202FXI8,Q5AGY8,Q6FPG5
A0A202FY72,A0A1D8PH08,Q6FPW4
A0A202FYG1,A0A1D8PL02,B4UN10
A0A202FYA9,Q5A896,Q6FUW1
A0A202G1S4,A0A1D8PSE5,Q6FUW1
A0A202GCT6,A0A1D8PQZ7,Q6FUW1
A0A202FYD3,Q5APK1,Q6FWU8
A0A202FYD8,A0A1D8PSG8,Q6FKT7
A0A202FYP7,Q5A061,Q6FIK2
A0A202FYK2,A0A1D8PMF7,Q6FLB4
A0A202G0Q9,Q5AK46,Q6FW05
A0A202G0J6,A0A1D8PP33,Q6FTV7
A0A202G177,Q5A416,Q6FL77
A0A202G1B9,Q59T88,F2Z679
A0A202GDK2,Q5AEC3,F2Z679
A0A202GEW3,Q5AI07,F2Z679
A0A202G1F9,A0A1D8PQ38,Q6FXW3
A0A202G1G6,Q5ALN1,Q6FJ31
A0A202G1C5,Q5ALM0,Q6FVK7
A0A202G1P3,Q5AJD9,Q6FY63
A0A202G2B9,Q5AJD6,Q6FY63
A0A202G2B0,Q5AJD9,Q6FY63
A0A202G1K2,Q5AHH7,Q6FW23
A0A202GE10,A0A1D8PDT0,Q6FW23
A0A202G1Q5,A0A1D8PE91,Q6FWC2
A0A202G1S3,Q5A4K0,Q6FJU7
A0A202G288,A0A1D8PJ22,Q6FJU7
A0A202G1S6,A0A1D8PPI5,Q6FV11
A0A202G3V0,A0A1D8PCR4,Q6FV11
A0A202G1T8,A0A1D8PQE3,Q6FMA4
A0A202G1Q1,Q5A044,Q6FSU7
A0A202G1U5,Q59ST2,Q6FTH5
A0A202G244,Q5AK39,Q6FY41
A0A202G6Z7,A0A1D8PG81,Q6FY41
A0A202G702,A0A1D8PG81,Q6FY41
A0A202GBY7,Q59VZ0,Q6FY41
A0A202G1V7,P53698,P25400
A0A202G242,A0A1D8PRB3,Q6FQ44
A0A202G228,A0A1D8PGR0,Q6FPB5
A0A202G933,A0A1D8PTM0,Q6FPB5
A0A202GDC4,A0A1D8PRL8,Q6FPB5
A0A202G2C6,A0A1D8PP59,Q6FUC4
A0A202G2A8,Q5A644,Q6FM51
A0A202G2I1,A0A1D8PP58,Q6FLU4
A0A202G2B4,A0A1D8PT27,Q6FUL9
A0A202G2L4,A0A1D8PGS6,Q6FMG9
A0A202G2P9,NA,Q6FLY4
A0A202G2P6,A0A1D8PTV7,Q6FR34
A0A202G2N3,A0A1D8PJX3,Q6FQV7
A0A202G2Q3,A0A1D8PI00,Q6FT35
A0A202G2U9,A0A1D8PTP9,Q6FTB3
A0A202G912,A0A1D8PTP9,Q6FTB3
A0A202G2U7,Q59XW4,Q6FLU2
A0A202G343,Q5A7P7,Q6FSD5
A0A202G340,A0A1D8PRE9,Q6FX00
A0A202G345,A0A1D8PIF8,Q6FT78
A0A202GET1,Q5AB86,Q6FT78
A0A202G359,Q5A2A1,Q6FPU5
A0A202G3I4,A0A1D8PRP8,Q6FXV1
A0A202G3E5,Q5ABU0,Q6FPY5
A0A202G3N2,A0A1D8PQD7,Q6FW65
A0A202G3E3,A0A1D8PMM8,Q6FLW4
A0A202G3G0,Q59ZH5,Q6FLW4
E3UZA6,A0A1D8PQK5,O14429
A0A202G3U2,Q59NH3,Q6FMK0
A0A202G3P8,Q59P36,Q6FT11
A0A202G3U1,Q59R31,Q6FQ57
A0A202G3U4,Q59ZF3,Q6FXA4
A0A202G822,A0A1D8PM83,Q6FXA4
A0A202G3U3,Q5AKX8,Q6FM61
A0A202G5Z6,Q5AKX8,Q6FM61
A0A202GFC0,Q5AKX8,Q6FM61
A0A202G427,A0A1D8PM81,Q6FX67
A0A202G3V6,A0A1D8PS79,Q6FXL1
A0A202G3Y5,Q59RQ6,Q6FUN7
A0A202G4A1,A0A1D8PDV7,Q6FSR7
A0A202G449,A0A1D8PP61,Q6FKL9
A0A202G4B1,Q5ANI2,Q6FVX5
A0A202GF41,Q5AAQ7,Q6FVX5
A0A202G460,Q59M30,Q6FN64
A0A202G4D5,Q5ALV5,Q6FL51
A0A202G4H8,Q59P08,Q6FP30
A0A202G4J6,Q5ALU6,Q6FW95
A0A202G4I3,A0A1D8PCG9,Q6FUR6
A0A202G4Q7,A0A1D8PFV6,Q6FP68
A0A202G4Q9,Q5ABT9,Q6FV31
A0A202G6P6,P83775,Q6FV31
A0A202G8A3,P83775,Q6FV31
A0A202G8P1,P83775,Q6FV31
A0A202G9Y8,Q5ABT9,Q6FV31
A0A202GBK8,P83775,Q6FV31
A0A202GBV3,A0A1D8PEJ8,Q6FV31
A0A202G4T2,A0A1D8PFC1,Q6FTL3
A0A202G4W4,A0A1D8PFN0,Q6FUL8
A0A202G4Y4,Q5AKY0,Q6FMB8
A0A202G516,Q5A8J1,Q6FW18
A0A202G507,Q59U72,Q6FLB6
A0A202G542,Q59MR4,Q6FM03
A0A202G597,Q59T45,Q6FJR4
A0A202G5C1,A0A1D8PG20,Q6FTM8
A0A202G5D7,Q5ACX5,Q6FL54
A0A202G5J9,A0A1D8PNB3,Q6FT04
A0A202G5M2,A0A1D8PIW1,Q6FXN7
A0A202G5S5,Q59X49,Q6FRG1
A0A202GDG3,A0A1D8PKD1,Q6FRG1
A0A202G5W8,A0A1D8PRJ9,Q6FRD4
A0A202G5W4,P82611,Q6FVR0
A0A202G635,Q5A328,Q6FTX4
