A0A202G9F1,P42800,Q6FQI1
A0A202G9X9,Q59T80,Q6FWK2
A0A202G309,Q59Y39,NA
A0A202G5W8,A0A1D8PRJ9,Q6FRD4
A0A202G7H1,Q5A0Z2,Q6FRV5
A0A202G1S3,Q5A4K0,Q6FJU7
A0A202GCR5,A0A1D8PHP8,Q6FKX9
A0A202G288,A0A1D8PJ22,Q6FJU7
A0A202GD44,A0A1D8PNY6,Q6FJ57
A0A202GFC0,Q5AKX8,Q6FM61
A0A202G9G8,O13289,Q6FM56
A0A202G5W1,Q59MU3,Q6FYB3
A0A202G590,A0A1D8PK89,Q6FLI0
A0A202G706,A0A1D8PK89,Q6FLI0
A0A202GFD5,Q5AKX2,Q6FLS0
A0A202G1J7,O94038,Q6FQA4
M9P8C9,Q59RB8,Q6FPK7
A0A202GBY7,Q59VZ0,Q6FY41
A0A202GDC7,A0A1D8PRM7,Q6FRR0
A0A202G2C8,Q59RC4,Q6FRJ5
A0A202G6Z4,Q59RN6,Q6FWW0
A0A202G847,A0A1D8PKW2,Q6FQR9
A0A202FVN1,Q5AF56,Q6FV44
A0A202GDC8,Q59QN6,Q6FNX6
A0A202G2U7,Q59XW4,Q6FLU2
A0A202G638,P83779,Q6FJA3
A0A202GF25,Q5A3Z5,NA
A0A202G413,A0A1D8PCP4,Q6FRJ5
A0A202G4M3,Q59SL5,Q6FRJ5
A0A202GCK5,A0A1D8PHJ4,Q6FXP8
A0A202G221,NA,NA
A0A202G1U5,Q59ST2,Q6FTH5
A0A202G744,G1UAZ9,NA
A0A202G789,Q5APD2,Q6FLE7
A0A202G8C1,Q5APD2,Q6FLE7
A0A202GAB1,P83778,Q6FL92
A0A202GBA2,Q59MQ8,Q6FQ85
A0A202G3N2,A0A1D8PQD7,Q6FW65
A0A202GBX9,Q59VY8,NA
A0A202GCJ3,A0A1D8PEZ0,F2Z6H6
A0A202GBW6,A0A1D8PCN0,Q6FTQ4
A0A202FW68,Q5A5U9,NA
A0A202G249,A0A1D8PRD3,Q6FSM9
A0A202GDP1,Q59P95,NA
A0A202G7N6,A0A1D8PJX7,Q6FJW6
A0A202G5C0,Q5ACW3,Q6FXV4
A0A202G881,Q5AMQ5,Q6FNG6
A0A202GD91,A0A1D8PRB7,Q6FXJ5
A0A202G1L8,Q5AHH4,NA
A0A202GD23,O13289,Q6FM56
A0A202G7D1,A0A1D8PS61,NA
A0A202GCW3,NA,Q6FPR9
A0A202GCI8,A0A1D8PEH5,NA
A0A202FWP4,A0A1D8PM94,Q6FPK0
A0A202G1X5,A0A1D8PQG3,NA
A0A202G704,Q5A8A6,Q6FWK7
A0A202GB88,A0A1D8PH47,Q6FKC7
A0A202FXG4,NA,NA
A0A202FWU6,A0A1D8PGT5,Q6FVP8
A0A202G3M7,A0A1D8PQ07,NA
A0A202G5M3,Q5A7L9,Q6FK27
A0A202GDI4,Q59WU0,Q6FNY0
A0A202FYI8,Q5AM72,Q6FMS4
A0A202G3V6,A0A1D8PS79,Q6FXL1
A0A202GEJ6,A0A1D8PQI9,Q6FNU3
A0A202GAM8,Q5AEN1,Q6FMG7
A0A202G940,Q59TS7,NA
A0A202GAZ6,A0A1D8PFU2,Q6FXQ9
A0A202G2Y8,Q5AP68,NA
A0A202GFE0,Q59SU1,Q6FVH8
A0A202GFB1,Q59TA3,Q6FUQ2
A0A202G3F5,Q59V90,Q6FS38
A0A202G4L9,A0A1D8PSW6,Q6FVP8
A0A202G7N0,Q59YV0,Q6FPE6
A0A202G655,A0A1D8PTU9,Q6FLT2
M9P8W3,A0A1D8PJ13,Q6FLN0
A0A202G6Z8,A0A1D8PS74,Q6FQL2
A0A202FYM7,Q59YD1,Q6FUW0
A0A202G2B9,Q5AJD6,Q6FY63
A0A202G1P3,Q5AJD9,Q6FY63
A0A202GDR1,Q5AD31,Q6FIJ0
A0A202G5C6,Q59KV5,NA
A0A202GBH1,Q5AF38,Q6FV32
A0A202G3B5,Q5ADR1,Q6FMN1
A0A202G1R9,Q5A4X3,Q6FML8
A0A202G7I6,NA,Q6FQY3
A0A202G9X0,A0A1D8PSP7,Q6FT61
A0A202G1L1,Q5AL00,Q6FVQ2
A0A202GBB3,A0A1D8PQH7,Q6FKF9
A0A202G817,A0A1D8PKC2,Q6FMR4
A0A202GCS7,Q59QA9,Q6FIY9
A0A202GFE7,Q59T49,NA
A0A202GD72,A0A1D8PN54,Q6FWS3
A0A202GCU4,A0A1D8PMU3,NA
A0A202G2P9,NA,Q6FLY4
A0A202GE96,Q5A967,Q6FXM7
A0A202GDF3,A0A1D8PSH3,Q6FS26
A0A202G2Z8,Q5AP69,Q6FRC7
A0A202GCD8,Q5AML6,Q6FQ30
A0A202FX67,NA,Q6FMM2
A0A202GBT2,A0A1D8PRL6,Q6FRQ3
A0A202G933,A0A1D8PTM0,Q6FPB5
A0A202GFC5,Q5ALW7,Q6FNL6
A0A202G4S0,A0A1D8PPX8,Q6FQW5
A0A202G5Z6,Q5AKX8,Q6FM61
A0A202G2T6,A0A1D8PDH0,Q6FTJ9
A0A202G6F4,A0A1D8PJB5,NA
A0A202G5S5,Q59X49,Q6FRG1
A0A202GA55,A0A1D8PQQ2,Q6FNW7
A0A202G2Y6,Q5AP78,NA
A0A202G1B9,Q59T88,F2Z679
A0A202G6K3,A0A1D8PGR9,Q6FQM0
A0A202FUB3,A0A1D8PEU9,NA
A0A202G575,A0A1D8PS71,NA
A0A202G4W7,Q59PF0,Q6FKW2
A0A202GBH0,O74711,Q6FM42
A0A202G678,A0A1D8PTU7,NA
A0A202G5Z8,Q5A8J5,Q6FY37
A0A202GDC6,A0A1D8PNH7,Q6FLS2
A0A202GFM6,P41797,Q6FTD8
A0A202G6L9,Q5ADT4,Q6FY54
A0A202G5H7,Q5A3J2,Q6FWK9
A0A202GEB0,Q5AH78,Q6FKA8
A0A202GDR5,A0A1D8PF42,NA
A0A202G3E3,A0A1D8PMM8,Q6FLW4
A0A202GEK1,A0A1D8PDU9,Q6FLS3
A0A202G6N7,Q5A9D4,NA
A0A202G1P5,A0A1D8PKE5,Q6FN67
A0A202GBW9,A0A1D8PCM2,NA
A0A202G9C3,A0A1D8PF79,Q6FS86
A0A202G8Z0,Q59N40,Q6FW98
A0A202G6X9,A0A1D8PG46,Q6FLP4
A0A202G8D0,Q5A1M1,Q6FX79
A0A202G5W4,P82611,Q6FVR0
A0A202G1Y3,A0A1D8PTW9,Q6FVX6
A0A202GFA4,A0A1D8PGE7,NA
A0A202G2B0,Q5AJD9,Q6FY63
A0A202GCZ0,Q5AK88,Q6FXL6
A0A202G335,A0A1D8PI24,Q6FY54
A0A202G9L0,A0A1D8PMU4,NA
A0A202GEJ2,A0A1D8PE84,Q6FK23
A0A202G8K1,A0A1D8PG09,Q6FTU5
A0A202G6N3,O94038,Q6FQA4
A0A202G8A3,P83775,Q6FV31
A0A202GBK8,P83775,Q6FV31
A0A202G4J6,Q5ALU6,Q6FW95
A0A202G3H5,Q59Z38,Q6FRB5
A0A202G968,Q5A7A9,Q6FWY1
A0A202G9K7,A0A1D8PQT7,Q6FJS2
A0A202GD75,A0A1D8PEK0,NA
A0A202G8C4,A0A1D8PET9,Q6FKF4
A0A202GCK3,A0A1D8PJB5,NA
A0A202GCX3,A0A1D8PP07,Q6FJ48
A0A202GDD1,A0A1D8PRL3,Q6FPS5
A0A202G750,A0A1D8PDM9,Q6FIK7
A0A202G1T8,A0A1D8PQE3,Q6FMA4
A0A202GDS5,A0A1D8PSD5,NA
A0A202GDK5,Q5A4M8,Q6FLQ4
A0A202G0C3,A0A1D8PP27,Q6FIK9
A0A202GAD6,Q5A4J9,Q6FKQ7
A0A202GBR5,Q5A4J9,Q6FKQ7
A0A202G4B1,Q5ANI2,Q6FVX5
A0A202G4G8,A0A1D8PJQ9,Q6FSD9
A0A202G821,P87218,Q6FIW5
A0A202GF23,Q59M69,Q6FUX7
A0A202GAE4,A0A1D8PMH8,Q6FWH3
A0A202G1D7,A0A1D8PD34,NA
A0A202GBQ8,A0A1D8PF54,Q6FXE9
A0A202G963,A0A1D8PF63,NA
A0A202G517,Q59U89,Q6FSA8
A0A202G796,A0A1D8PDC6,Q6FJK7
A0A202G3U5,A0A1D8PRE2,Q6FY20
A0A202GCP6,Q5ANE3,Q6FPZ8
A0A202G6G7,A0A1D8PJP3,Q6FUB2
A0A202G5D6,Q59SS8,Q6FPI0
A0A202GE54,A0A1D8PT90,Q6FJT1
A0A202G3I4,A0A1D8PRP8,Q6FXV1
A0A202G5B7,A0A1D8PG37,NA
A0A202FW13,P83773,Q6FPF3
A0A202GF63,Q5AH38,Q6FU44
A0A202G2L9,Q5A0J6,Q6FVD1
A0A202GE63,Q59NP1,Q6FVX8
A0A202GEJ5,Q5A785,NA
A0A202G2W3,A0A1D8PI34,NA
A0A202FVC4,A0A1D8PTC9,Q6FJF8
A0A202G2Q3,A0A1D8PI00,Q6FT35
A0A202GCP7,A0A1D8PLE6,NA
A0A202GF39,Q59M70,Q6FUX5
A0A202G9A8,PHO100,Q6FRH5
A0A202G8Z7,A0A1D8PU17,Q8TG07
A0A202G1T1,A0A1D8PIJ8,Q6FMC9
A0A202GDC2,Q59QN7,Q6FWS8
A0A202GDG3,A0A1D8PKD1,Q6FRG1
A0A202GCI0,A0A1D8PQ42,Q6FSQ4
A0A202G8X0,A0A1D8PU04,Q6FPA8
A0A202FWH7,A0A1D8PMA1,Q6FU27
A0A202G6F9,Q59SS1,Q6FX32
A0A202GD35,A0A1D8PEH4,NA
A0A202G7E4,A0A1D8PH25,Q6FUA3
A0A202G8B9,Q5A761,Q6FRT2
A0A202G359,Q5A2A1,Q6FPU5
A0A202G226,NA,NA
A0A202G8A7,A0A1D8PED9,Q6FNA9
A0A202GAX4,A0A1D8PFV8,Q6FRA7
A0A202GAL0,A0A1D8PL85,Q6FW98
A0A202FWG5,Q5A0I7,Q6FMZ4
A0A202GAU9,A0A1D8PJT6,NA
A0A202G2P0,Q5ACV3,NA
A0A202G5M2,A0A1D8PIW1,Q6FXN7
A0A202GDH1,A0A1D8PCD3,NA
A0A202G1U1,Q5AL11,Q6FN66
A0A202GDA0,A0A1D8PRK7,NA
A0A202GAC4,A0A1D8PRR5,Q6FWJ8
A0A202G7D6,Q5A8P6,Q6FLF9
A0A202GBI7,A0A1D8PLD7,Q6FP28
A0A202G8E1,Q59Y37,Q6FXR3
A0A202G8Q5,Q59WV8,NA
A0A202G776,A0A1D8PHC9,Q6FMF0
A0A202G4R1,A0A1D8PST6,Q6FJ49
A0A202G790,A0A1D8PH42,Q6FTS6
A0A202G5P5,Q5A8Z9,NA
A0A202GEZ9,Q5AD02,NA
A0A202G822,A0A1D8PM83,Q6FXA4
A0A202GD50,A0A1D8PEI6,Q6FPK4
A0A202G9G2,A0A1D8PU51,NA
A0A202FW24,A0A1D8PCL8,Q6FT29
A0A202GCB6,A0A1D8PSY8,Q6FRZ7
A0A202GBS3,A0A1D8PSY8,Q6FRZ7
A0A202G253,Q5A7Q8,Q6FWU1
A0A202G4R9,A0A1D8PPX6,Q6FIJ0
A0A202GB98,Q59TB1,Q6FM38
A0A202GB96,Q59TC4,Q6FP59
A0A202G1I6,A0A1D8PGL1,Q6FWF0
A0A202G543,A0A1D8PDG0,NA
A0A202FVM1,Q5AL24,Q6FX56
A0A202G1R5,A0A1D8PQ59,Q6FJV0
A0A202G610,Q5A318,Q6FUA2
A0A202G7W6,Q59TD5,NA
A0A202GC46,A0A1D8PRG4,Q6FIP8
A0A202G1V7,P53698,P25400
A0A202FX78,A0A1D8PR62,Q6FJK7
A0A202G7F7,A0A1D8PF32,Q6FWT3
A0A202GBH4,Q5AF37,Q6FJK2
A0A202G777,Q5AJ84,NA
A0A202GDH3,A0A1D8PRX9,NA
A0A202GCW7,Q59KQ1,Q6FV87
A0A202G675,A0A1D8PH55,Q6FW03
A0A202GDK2,Q5AEC3,F2Z679
A0A202GEN5,Q5ADN0,Q6FWB4
A0A202GCI5,A0A1D8PC76,Q6FN17
A0A202FYP7,Q5A061,Q6FIK2
A0A202G4G1,A0A1D8PGH5,Q6FVS5
A0A202G782,A0A1D8PSY1,Q6FMT6
A0A202GD04,A0A1D8PLV5,Q6FR69
A0A202GC43,A0A1D8PDN3,Q6FIU4
A0A202G399,Q59Z55,Q6FWM2
A0A202G4Y4,Q5AKY0,Q6FMB8
A0A202G912,A0A1D8PTP9,Q6FTB3
A0A202GE06,A0A1D8PPR2,Q6FW00
A0A202G6F0,A0A1D8PQJ8,NA
A0A202G2K0,A0A1D8PDN9,Q6FUP3
A0A202GCT0,A0A1D8PCG4,Q6FS82
A0A202G3U1,Q59R31,Q6FQ57
A0A202G8U4,A0A1D8PTH3,Q6FVK0
A0A202GA13,A0A1D8PCV9,Q6FM93
A0A202GEP2,Q5ADM7,Q6FSM4
A0A202G7B2,Q96UX5,Q6FJ65
A0A202GC64,A0A1D8PGR6,Q6FNG0
A0A202G8I6,A0A1D8PNC7,Q6FPF6
A0A202GCC9,Q59TZ8,Q6FUU4
A0A202G3B8,A0A1D8PIC2,NA
A0A202FWM0,A0A1D8PMB3,Q6FSM6
A0A202G310,Q5ADT4,Q6FY54
A0A202G613,P43076,F2Z613
A0A202G5I7,Q5A516,Q6FUE0
A0A202G1T3,Q5A6L5,Q6FP08
A0A202G534,A0A1D8PHY0,NA
A0A202G241,A0A1D8PRC2,Q6FIK7
A0A202G1S1,Q5A8I5,Q6FRJ5
A0A202GFG4,Q5AC33,Q6FII9
A0A202GCB2,NA,Q6FQ10
A0A202GAF7,Q5AMP4,Q6FL92
A0A202GAG3,A0A1D8PQU3,NA
A0A202FXI1,Q5AGZ0,Q6FJY3
A0A202G1L2,Q5AI00,Q6FLX7
A0A202GDH0,A0A1D8PR97,Q6FX93
A0A202G8P0,A0A1D8PJI2,Q6FND8
A0A202GCN5,A0A1D8PTL3,Q6FTD9
A0A202GEN9,Q5AEI1,NA
A0A202GE87,Q5A850,Q6FM65
A0A202G368,A0A1D8PHR5,Q6FM13
A0A202GAL5,A0A1D8PQS3,NA
A0A202G6X6,Q59KQ3,NA
A0A202G961,A0A1D8PPH3,Q6FM64
A0A202GAR4,A0A1D8PJ26,Q6FSQ3
A0A202G2B4,A0A1D8PT27,Q6FUL9
A0A202G751,A0A1D8PSA9,Q6FMJ8
A0A202GBF1,A0A1D8PEF9,Q6FWD2
A0A202G2M5,A0A1D8PDI3,NA
A0A202G2A8,Q5A644,Q6FM51
A0A202G345,A0A1D8PIF8,Q6FT78
A0A202G7T7,Q5A357,Q6FPA1
A0A202G713,A0A1D8PDD1,Q6FKT0
A0A202GAK8,A0A1D8PN11,Q6FWD7
A0A202GB83,A0A1D8PH74,Q6FL21
A0A202G1L5,A0A1D8PRH0,Q6FXI6
A0A202GDY7,A0A1D8PS56,Q6FTJ1
A0A202GBL7,Q5AMT2,Q6FTS0
A0A202G3I0,P87185,Q6FS34
